Location,Language,Post,Name,Skills,Disability_Inclusive,Perks
Mumbai,English,Software Developer,TechSolutions Ltd,"Java,Python,HTML,CSS,JavaScript",Musculoskeletal,"Extended deadlines,Supportive colleagues"
Delhi,Hindi,Marketing Coordinator,MediaCrafters Pvt Ltd,"Social Media Management,Content Creation,Marketing Strategy",Sensory,"Visual aids, Screen readers,Mentoring"
Bangalore,English,Customer Support Representative,SupportPros India,"Communication Skills,Problem Solving,Customer Service",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Chennai,English,Data Scientist,DataInsights Solutions,"Machine Learning,Python,R,Data Analysis",Developmental,"Sign language interpreters,Braille displays,Supportive colleagues"
Hyderabad,English,Graphic Designer,DesignHub Creations,"Adobe Creative Suite,Typography,Visual Design",Sensory,"Vision aids,Mentoring,Supportive colleagues"
Kolkata,Hindi,Sales Executive,SalesConnect Solutions,"Business Development,Client Relationship,Communication",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Pune,English,HR Generalist,HRGenius Services,"Employee Relations,Recruitment,HR Policies",Musculoskeletal,"Accessible parking,Flexible schedule,Mentoring"
Ahmedabad,English,Finance Analyst,FinanceExcel Advisors,"Financial Modeling,Excel,Accounting",Sensory,"Hearing aids, Real-time captioning,Supportive colleagues"
Jaipur,Hindi,Network Administrator,NetworkPros India,"Networking,Security,Troubleshooting",Developmental,"Sign language interpreters,Accessible parking,Flexible schedule,Supportive colleagues"
Lucknow,English,Content Writer,ContentCrafters Media,"Creative Writing,Blogging,SEO",Non-visible,"Extended deadlines,Supportive colleagues"
Hyderabad,English,Web Developer,CodeCrafters Solutions,"HTML,CSS,JavaScript,React",Sensory,"Vision aids,Screen readers,Supportive colleagues"
Kolkata,Hindi,Data Entry Operator,DataEntryNow Services,"Data Entry,Typing Skills,Attention to Detail",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
Bangalore,English,Marketing Manager,MarketBoost Solutions,"Marketing Strategy,Social Media Management,Data Analysis",Developmental,"Sign language interpreters,Braille displays,Mentoring"
Delhi,Hindi,IT Support Specialist,SwiftTech Support,"Troubleshooting,Hardware Maintenance,Software Installation",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Mumbai,English,Graphic Illustrator,DesignCraft Creations,"Adobe Creative Suite,Typography,Logo Design",Sensory,"Vision aids,Mentoring,Supportive colleagues"
Chennai,Hindi,Cashier,QuickCash Retail,"Point of Sale (POS) System,Basic Math Skills,Attention to Detail",Musculoskeletal,"Accessible parking,Flexible schedule,Supportive colleagues"
Pune,English,Delivery Driver,SwiftDeliveries Logistics,"Driving License,Route Planning,Time Management",Non-visible,"Accessible parking,Flexible schedule,Supportive colleagues"
